SV_ID	gene_count	exon_count	tran_count	rest_count	ID_regl	df1_count	df2_count	df3_count	df4_count	df5_count	df6_count	df7_count
DEL00000025	1	6	1	14	4	19	0	0	0	0	0	0
DEL00000026	1	6	1	14	5	19	0	0	0	0	0	0
DEL00000027	1	34	4	46	6	19	0	0	0	0	0	0
DEL00000048	1	0	1	0	12	25	0	0	0	0	0	0
DEL00000062	1	0	9	0	15	29	0	0	0	0	0	0
DEL00000078	1	0	25	0	18	11	0	0	0	2	0	0
DEL00000088	1	0	35	0	19	9	0	0	0	0	0	0
DEL00000142	1	0	4	0	25	5	0	0	0	0	0	0
DEL00000156	1	0	1	0	28	5	0	0	0	0	0	0
DEL00000181	1	0	4	0	31	3	0	0	0	0	0	0
DEL00000184	1	0	9	0	32	7	0	0	0	0	0	0
DEL00000192	1	0	25	0	33	7	0	0	0	0	0	0
DEL00000202	1	0	9	0	35	5	0	0	0	0	0	0
DEL00000203	1	0	1	0	36	5	0	0	0	0	0	0
DEL00000210	1	0	1	0	38	4	0	0	0	0	0	0
DEL00000261	1	0	9	0	44	6	0	0	0	0	0	0
DEL00000289	1	0	9	0	50	12	0	0	0	0	0	0
DEL00000313	1	0	4	0	52	0	0	0	0	0	0	0
DEL00000313	1	0	4	0	53	0	0	0	0	0	0	0
DEL00000313	1	0	4	0	54	0	0	0	0	0	0	0
DEL00000369	1	0	5	0	295	8	0	2	0	0	0	0
DEL00000375	1	0	4	0	297	3	0	0	0	0	0	2
DEL00000384	1	0	4	0	299	5	0	0	0	0	0	0
DEL00000405	1	0	1	0	302	45	60	0	0	0	0	0
DEL00000482	1	0	16	0	310	9	0	0	0	0	0	0
DEL00000489	1	0	4	0	311	4	0	0	0	0	0	0
DEL00000536	1	0	9	0	317	6	0	0	0	0	0	0
DEL00000544	1	0	2	0	318	2	0	0	0	0	0	0
DEL00000546	1	0	4	0	319	2	0	0	0	0	0	0
DEL00000548	1	0	14	0	320	4	2	0	0	0	0	0
DEL00000755	1	0	1	0	336	35	117	0	0	0	0	0
DEL00000886	1	0	1	0	2521	14	0	0	0	0	0	0
DEL00001010	1	8	1	14	2531	10	2	0	0	0	0	0
DEL00001010	1	8	1	14	2532	10	2	0	0	0	0	0
DEL00001049	1	8	1	12	2534	5	0	0	0	0	0	0
DEL00001070	1	0	1	0	2535	7	0	0	0	0	0	0
DEL00001070	1	0	1	0	2536	7	0	0	0	0	0	0
DEL00001079	1	0	9	0	2539	7	0	0	0	0	0	0
DEL00001090	1	0	1	0	2542	12	0	0	0	0	0	0
DEL00001194	1	0	6	0	2552	0	0	0	0	0	0	0
DEL00001202	1	0	1	0	2553	6	1	0	0	0	0	0
DEL00001246	1	0	9	0	2559	5	0	4	0	0	0	0
DEL00001250	1	0	81	0	2561	1	0	0	0	0	0	0
DEL00001250	1	0	81	0	2562	1	0	0	0	0	0	0
DEL00001251	1	0	9	0	2563	0	0	0	0	0	0	0
DEL00001309	1	0	3	0	2568	2	0	0	0	0	0	0
DEL00001326	1	0	100	0	2569	9	0	0	0	3	0	0
DEL00001344	1	0	42	0	2571	5	0	0	0	0	0	0
DEL00001406	1	0	9	0	2579	0	5	0	0	0	0	0
DEL00001413	1	0	1	0	2581	5	1	0	0	0	0	0
DEL00001461	1	0	16	0	2582	5	0	0	0	0	5	0
DEL00001504	1	0	1	0	2586	7	0	0	0	0	0	0
DEL00001666	1	0	1	0	0	0	0	0	0	0	0	0
DUP00000328	1	558	9	852	56	13	9	0	2	2	3	0
DUP00000328	1	558	9	852	57	13	9	0	2	2	3	0
DUP00000328	1	558	9	852	58	13	9	0	2	2	3	0
DUP00000328	1	558	9	852	59	13	9	0	2	2	3	0
DUP00000328	1	558	9	852	60	13	9	0	2	2	3	0
DUP00000328	1	558	9	852	61	13	9	0	2	2	3	0
DUP00000328	1	558	9	852	62	13	9	0	2	2	3	0
