SV_ID	gene_count	exon_count	tran_count	rest_count	ID_regl	df1_count	df2_count	df3_count	df4_count	df5_count	df6_count	df7_count
BND00001265	1	0	1	0	21786	5	0	0	0	0	0	0
BND00001565	1	0	9	0	22115	5	9	0	2	2	3	0
BND00002717	1	14	1	18	40337	8	1	0	0	0	0	0
BND00002944	1	0	9	0	40366	35	0	0	0	0	0	0
BND00003189	1	0	9	0	41208	8	0	0	0	0	0	0
BND00003862	1	0	1	0	41489	17	17	0	19	11	11	0
BND00004043	1	0	2	0	41564	3	0	0	0	0	0	0
BND00004117	1	0	4	0	41600	13	0	0	0	0	0	0
BND00004124	1	0	1	0	41603	16	0	0	0	0	0	0
BND00004553	1	0	4	0	41779	2	0	0	0	0	0	0
BND00005292	1	0	1	0	42216	2	0	0	0	0	0	0
BND00005736	1	0	4	0	42369	0	0	0	0	0	0	0
BND00005740	1	3	1	7	42372	0	0	0	0	0	0	0
BND00005777	1	0	1	0	42391	0	0	0	0	0	0	0
BND00006135	1	0	6	0	43751	1	0	0	0	0	0	0
BND00006371	1	31	1	35	43838	0	0	0	0	0	0	0
BND00006387	1	0	16	0	43845	2	0	0	0	0	0	0
BND00006398	1	0	3	0	43859	2	0	0	0	0	0	0
BND00006874	1	0	9	0	44285	5	2	0	0	0	0	0
BND00006904	1	15	1	19	44298	5	0	0	0	0	0	0
BND00007333	1	0	9	0	44412	16	0	0	0	0	0	0
BND00007521	1	1	1	3	0	0	0	0	0	0	0	0
BND00007984	1	0	1	0	0	0	0	0	0	0	0	0
DEL00000024	1	0	25	0	8	5	0	0	0	0	0	0
DEL00000027	1	0	49	0	12	4	0	0	0	0	0	0
DEL00000028	1	0	49	0	13	4	0	0	0	0	0	0
DEL00000041	96	62518	320	79834	23	480	77	250	0	48	20	8
DEL00000041	96	62518	320	79834	24	480	77	250	0	48	20	8
DEL00000041	96	62518	320	79834	25	480	77	250	0	48	20	8
DEL00000041	96	62518	320	79834	26	480	77	250	0	48	20	8
DEL00000041	96	62518	320	79834	27	480	77	250	0	48	20	8
DEL00000041	96	62518	320	79834	28	480	77	250	0	48	20	8
DEL00000041	96	62518	320	79834	29	480	77	250	0	48	20	8
DEL00000041	96	62518	320	79834	30	480	77	250	0	48	20	8
DEL00000041	96	62518	320	79834	31	480	77	250	0	48	20	8
DEL00000041	96	62518	320	79834	32	480	77	250	0	48	20	8
DEL00000041	96	62518	320	79834	33	480	77	250	0	48	20	8
DEL00000041	96	62518	320	79834	34	480	77	250	0	48	20	8
DEL00000041	96	62518	320	79834	35	480	77	250	0	48	20	8
DEL00000041	96	62518	320	79834	36	480	77	250	0	48	20	8
DEL00000041	96	62518	320	79834	37	480	77	250	0	48	20	8
DEL00000041	96	62518	320	79834	38	480	77	250	0	48	20	8
DEL00000041	96	62518	320	79834	39	480	77	250	0	48	20	8
DEL00000041	96	62518	320	79834	40	480	77	250	0	48	20	8
DEL00000041	96	62518	320	79834	41	480	77	250	0	48	20	8
DEL00000041	96	62518	320	79834	42	480	77	250	0	48	20	8
DEL00000041	96	62518	320	79834	43	480	77	250	0	48	20	8
DEL00000041	96	62518	320	79834	44	480	77	250	0	48	20	8
DEL00000041	96	62518	320	79834	45	480	77	250	0	48	20	8
DEL00000041	96	62518	320	79834	46	480	77	250	0	48	20	8
DEL00000041	96	62518	320	79834	47	480	77	250	0	48	20	8
DEL00000041	96	62518	320	79834	48	480	77	250	0	48	20	8
DEL00000041	96	62518	320	79834	49	480	77	250	0	48	20	8
DEL00000041	96	62518	320	79834	50	480	77	250	0	48	20	8
DEL00000041	96	62518	320	79834	51	480	77	250	0	48	20	8
DEL00000041	96	62518	320	79834	52	480	77	250	0	48	20	8
DEL00000041	96	62518	320	79834	53	480	77	250	0	48	20	8
DEL00000041	96	62518	320	79834	54	480	77	250	0	48	20	8
DEL00000041	96	62518	320	79834	55	480	77	250	0	48	20	8
DEL00000041	96	62518	320	79834	56	480	77	250	0	48	20	8
DEL00000041	96	62518	320	79834	57	480	77	250	0	48	20	8
DEL00000041	96	62518	320	79834	58	480	77	250	0	48	20	8
DEL00000041	96	62518	320	79834	59	480	77	250	0	48	20	8
DEL00000041	96	62518	320	79834	60	480	77	250	0	48	20	8
DEL00000041	96	62518	320	79834	61	480	77	250	0	48	20	8
DEL00000041	96	62518	320	79834	62	480	77	250	0	48	20	8
DEL00000041	96	62518	320	79834	63	480	77	250	0	48	20	8
DEL00000041	96	62518	320	79834	64	480	77	250	0	48	20	8
DEL00000041	96	62518	320	79834	65	480	77	250	0	48	20	8
DEL00000041	96	62518	320	79834	66	480	77	250	0	48	20	8
DEL00000041	96	62518	320	79834	67	480	77	250	0	48	20	8
DEL00000041	96	62518	320	79834	68	480	77	250	0	48	20	8
DEL00000041	96	62518	320	79834	69	480	77	250	0	48	20	8
DEL00000041	96	62518	320	79834	70	480	77	250	0	48	20	8
DEL00000041	96	62518	320	79834	71	480	77	250	0	48	20	8
DEL00000041	96	62518	320	79834	72	480	77	250	0	48	20	8
DEL00000041	96	62518	320	79834	73	480	77	250	0	48	20	8
DEL00000041	96	62518	320	79834	74	480	77	250	0	48	20	8
DEL00000041	96	62518	320	79834	75	480	77	250	0	48	20	8
DEL00000041	96	62518	320	79834	76	480	77	250	0	48	20	8
DEL00000041	96	62518	320	79834	77	480	77	250	0	48	20	8
DEL00000041	96	62518	320	79834	78	480	77	250	0	48	20	8
DEL00000041	96	62518	320	79834	79	480	77	250	0	48	20	8
DEL00000041	96	62518	320	79834	80	480	77	250	0	48	20	8
DEL00000041	96	62518	320	79834	81	480	77	250	0	48	20	8
DEL00000041	96	62518	320	79834	82	480	77	250	0	48	20	8
DEL00000041	96	62518	320	79834	83	480	77	250	0	48	20	8
DEL00000041	96	62518	320	79834	84	480	77	250	0	48	20	8
DEL00000041	96	62518	320	79834	85	480	77	250	0	48	20	8
DEL00000041	96	62518	320	79834	86	480	77	250	0	48	20	8
DEL00000041	96	62518	320	79834	87	480	77	250	0	48	20	8
DEL00000041	96	62518	320	79834	88	480	77	250	0	48	20	8
DEL00000041	96	62518	320	79834	89	480	77	250	0	48	20	8
DEL00000041	96	62518	320	79834	90	480	77	250	0	48	20	8
DEL00000041	96	62518	320	79834	91	480	77	250	0	48	20	8
DEL00000041	96	62518	320	79834	92	480	77	250	0	48	20	8
DEL00000041	96	62518	320	79834	93	480	77	250	0	48	20	8
DEL00000041	96	62518	320	79834	94	480	77	250	0	48	20	8
DEL00000041	96	62518	320	79834	95	480	77	250	0	48	20	8
DEL00000041	96	62518	320	79834	96	480	77	250	0	48	20	8
DEL00000041	96	62518	320	79834	97	480	77	250	0	48	20	8
DEL00000041	96	62518	320	79834	98	480	77	250	0	48	20	8
DEL00000041	96	62518	320	79834	99	480	77	250	0	48	20	8
DEL00000041	96	62518	320	79834	100	480	77	250	0	48	20	8
DEL00000041	96	62518	320	79834	101	480	77	250	0	48	20	8
DEL00000041	96	62518	320	79834	102	480	77	250	0	48	20	8
DEL00000041	96	62518	320	79834	103	480	77	250	0	48	20	8
DEL00000041	96	62518	320	79834	104	480	77	250	0	48	20	8
DEL00000041	96	62518	320	79834	105	480	77	250	0	48	20	8
DEL00000041	96	62518	320	79834	106	480	77	250	0	48	20	8
DEL00000041	96	62518	320	79834	107	480	77	250	0	48	20	8
